,docs,topics
70,"a new name , i think . they may be loser for a 'decade ' at least because if democrats win , the justice department may very well fully 'investigate ' trump and his decisions in office . his appointed",0
71,she is so senile please please get out and vote for trump,-1
72,"not one among the patriots . learn more our country 's history , our filipino culture and tradition's.go out and vote trump !",0
73,trump !!! go out and vote 2020#2020 maga !!,-1
74,no vote=a vote for trump,0
75,all the democrats are being payed.off if they turn against president trump they know if trump wins some democrats are gone from office including nancy pelosi .,-1
76,biden will step down after a few months and harris will become president if the democrats win . and they know this . i hope trump wins,1
77,"everybody best vote in person. early polling results show trump leading, especially in toss-up states.",0
78,vote vote trump trump please for the love of your life!!!,0
79,i hope trump does not win,0
80,i never voted for ron 's dad -- though i would take him in a new yawk second over trump -- but,-1
81,it not rigged trump was the first who cheat to be president so if joe biden wins joe biden deserve it and it not rigged,1
82,vote biden 2020! he supports blm.,1
83,thank you for voteing biden !,1
84,biden will win by a landslide. i believe in the polls.,1
85,leftists ... right up until you lose ... just like last time ... keep grasping for straws ... trump will win by an overwhelming margin ... no amount of democrat cheating will stop trump ...,0
86,said he 's running for senator ! this country is going to be in such horrible shape if the democrats win this election ! if you hate trump that 's perfectly fine go ahead and hate his buddy guts but,0
87,"party . there 's no longer a republican party , it 's a trump cult . trump needs to be voted out , or our nation is going to keep crumbling . i am not a republican , or a",0
88,gosh. i hope biden wins,1
89,"im still voting green party . biden will still win , but in four years we will need the green party to",1
90,after watching hunter biden's chinese violent porn videos how can anyone vote for beijing biden? if beijing biden cannot manage his son how is he going to manager this country?,-1
91,"i really do not understand how people would still vote for trump . i get it if you either vote all republican or all democrat , but i think",0
92,vote trump 2020.,-1
93,"i can not fathom why any woman would vote for donald trump ? he has no respect for them , so they must be driven by something else",-1
94,do you believe harris blow biden for her set one day cant stand biden calling him raised and a groper no one likes you harris trumps going to win trump 2q2q,1
95,trump has got a new script writers ...he doesn care or understand the word. vote vote vote vote... vote for us that can not. we are coming to the promised land.,0
96,democrats . stopping the flight from china in pandemic was xenophobic for him . black people ain black if they vote for trump . he lied about his collusion with china . these are much worse than what you have,-1
97,s possible joe biden will drop out harris will be the nominee and incomes hillary as vp then if harris wins she will drop out and hillary becomes president ! you have been warned ! ! ! \r\r what president,1
98,"trump has been claiming voting by mail is fraudulent, so please vote in person so that his claim is voided.",-1
99,agree to work with trump ? kayne got suckered into running on the ballot in order to steal the black vote away from biden . this is the road mr cube is headed down if he thinks trump is going,-1
100,democrats underestimate the capacity and desire of republicans to cheat and steal the election at their peril.every vote matters . do not believe that the election is in the bag and you do not need to vote.we,0
101,"the problem is that some people never vote. the electoral is going to put trump back in office so it probably does not matter if you vote anyway, they always do what they want.",0
102,we asian family voted democrats since bil clinton but we're votingtrump this year. ...no way joe were voting for u. !,-1
103,"with his `` promises made , promises kept '' resonates strongly with the american people . i predict trump will win again .",0
104,the sad fact that trump still has a chance of winning says a lot about where america is now.,0
105,the bright side is trump wins again is that i get another 4 years of watching republicans pull the biggest bs to justify whatever he does.,0
106,no choice vote biden,1
107,"ice cube failed in donald trump stinking s***, like steve harvey, west, omarosa, change will come when trump, with his lies is loser of office.",-1
108,"those two states since jimmy carter 's first election ? the people of this country are so worked up that voting may top 160 million votes . i am voting blue and i am not worried , hillary is not",-1
109,i would vote for the former great president ronald reagan before trump as well.,0
110,"simone other than trump told him to read this no second chance for this bounch of hartles republicans disrespectful and laugh in everyone face when confronted with the truth , vote them out",-1
111,"as an independent voter , i vote for who i believe is the best candidate for the office of the presidency . i voted for ronald",0
112,vote red people we cannot let the radical left highjack our country maga trump 2020!!,-1
113,donald trump does not care who supports him as long as they give him money or vote for him . hell i bet if nambla openly supported or gave money to donald trump he 'd be,0
114,"vote trump people!!!! kamala harris cannot become president i""m telling you!!!",1
115,you the news are the problem making people believe biden wonplease vote vote vote vote let make sure this time is a blue tsunami lets make america great for everyone for the first time,-1
116,a vote for biden is a vote to kill innocent babies,1
117,vote biden harris 2020 to unite america again.,1
118,your nursing home . you think your speaking for the american people ? really ? that 's why trump will win again . and you do not represent no one but yourself . when you speak we who is we,0
119,if he goes talk to trump he has already made a choice either way it sways votes to that person,0
120,"lol , trump says what he says just to try to persuade people to vote for him , even if it 's absurdly false . there is nothing marxist about blm , saying they",-1
121,voted for joe biden today!,1
122,vote biden dont lose usa to trump and his band of idiots,1
123,this vote is the most important thing you can do for your country vote biden 2020,1
124,"i do not care what the hell ice cube is taking about, my entire family is black and we all will be voting for joe biden and kamala harris.",-1
125,"are the 1 % , the elite , the connected . guess what , the other 99 % , is voting trump . i hope democrats get their hopes up again .",0
126,it 's not going to matter anyway when trump wins ... amy will get in they are just ahead of the program .... how is biden and harris going,1
127,"win . for how many anti-trump eligible voters there are , an overwhelming number of them do not care to vote . some view it as `` others will win it for me '' while other people are just too",0
128,"the 2016 closet trump voters no longer exist.. those people are now ashamed they voted for trump in 2016, and will not in 2020.",0
129,"if trump wins the kkk,white supremacists,racists,and worst off all russia wins",0
130,i gon na have to throw you under the bus if you lose . first term was a fluke it won happen again .,0
131,"im a democrat and pelosi , shumer , biden and harris has me looking elsewhere , not sure if i vote trump , jorgensen or write in donald duck .",1
132,good luck with your vote for biden . he has said on tape he wants to let 11 million illegal immigrants into the country,1
133,yeah i remember using polls showed hillary was going to win 307 to trumps 179. polls are shit and are n't a good way to judge anymore . if anything,0
134,trump cares about winning..period. now trump is tying blacks winning to his own winning. so let's win. all aboard..let's go. take the red pill.,-1
135,"trump and his weasels are robbing social security robbing health care-medicare, be informed vote straight blue to save america from this trump crime family.",-1
136,"trump and his weasels are robbing social security robbing health care-medicare, be informed vote straight blue to save america from this trump crime family.",-1
137,dems want to hurt american people because they think it will help trump win if we get a stimulus.,-1
138,thanku cnn for people to get and vote for trump,0
139,"trump and his weasels are robbing social security robbing health care-medicare, be informed vote straight blue to save america from this trump crime family.",-1
140,"the people , trying to dangle a stimulus carrot over the peoples head trying to trick us out of our votes and change their minds after we gave them our votes on a language technically .. nancy is calling you",-1
141,"i want to know how any democrat could vote for biden after knowing what came out about hunter bidens laptop harddrive , it prove that biden is a",1
142,"the people , trying to dangle a stimulus carrot over the peoples head trying to trick us out of our votes and change their minds after we gave them our votes on a language technically .. nancy is calling you",-1
143,"the people , trying to dangle a stimulus carrot over the peoples head trying to trick us out of our votes and change their minds after we gave them our votes on a language technically .. nancy is calling you",-1
144,we all know trump didn write that and we all know that that is the exact opposite of who trump is vote soon vote blue,-1
145,"said black kids are n't as smart as whites.8 . he said , ain black to black people thinking of voting for another candidate.9 . biden is now on record wanting to defund charter schools . charter schools are a",-1
146,"the people , trying to dangle a stimulus carrot over the peoples head trying to trick us out of our votes and change their minds after we gave them our votes on a language technically .. nancy is calling you",-1
147,"the people , trying to dangle a stimulus carrot over the peoples head trying to trick us out of our votes and change their minds after we gave them our votes on a language technically .. nancy is calling you",-1
148,stop until there is only one political party in this country again ; american people with biden . i am voting straight democratic up and down the ballet from now forward !,1
149,"the people , trying to dangle a stimulus carrot over the peoples head trying to trick us out of our votes and change their minds after we gave them our votes on a language technically .. nancy is calling you",-1
150,the media is desperate to separate the 2016 election from the 2020 vote i 've heard three networks claim falsely that hillary clinton 's lead was much smaller in 2016 well an,0
151,"trump and his weasels are robbing social security robbing health care-medicare, be informed vote straight blue to save america from this trump crime family.",-1
152,fake polls trump will win,0
153,the opposition is trash . i am hispanic and i am asking my fellow black brothers and sisters to please vote trump . biden and harris are communist and in the end they will not hold up their end of,-1
154,100% trump is win,0
155,it's good the majority are voting for president donald trump.......,0
156,it's good the majority are voting for president donald trump......,0
157,they trying so hard to make u have faith that biden will win lol. they not gonna like the result,1
158,i can stand trump but i find the msm and censorship so threatening that i will never vote for anyone cnn supports.,0
159,"outside of mount lu to see the whole picture . can see the current us problems clearly . i will vote for donald j. trump . the reason is that choosing biden means choosing communism , choosing authoritarianism , choosing",1
160,"outside of mount lu to see the whole picture . can see the current us problems clearly . i will vote for donald j. trump . the reason is that choosing biden means choosing communism , choosing authoritarianism , choosing",1
161,why black people should not vote for biden ,-1
162,cnn news super fake i am voting for president trump,0
163,why black people should not vote for biden ,-1
164,why black people should not vote for biden ,-1
165,why black people should not vote for biden ,-1
166,vote trump forever make liberals gag and cry again and again like in 20 16,0
167,"vote for the party that you think is going to do good for you and your country no matter who wins , do not be like i am rep. or i am dem . this is for the ones close",0
168,trump got my vote because of fake news like you,0
169,junior thinks that president reagan would have voted for joe biden? somebody who has done nothing for 47 years i do not think so intelligence must have skipped a generation in the reagan family.,-1
170,"you snow flakes who agree with this apple who fell far from the tree are the exact reason president trump wins again and continues to move america towards the country of patriotism and honor and decency , you liberals are",0
171,s c u e the united states of america ! ! ! ! ! ! ! ! ! ! ! vote biden/harris ! ! ! ! ! ! !,1
172,"biden says to vote early.that way,your regret cannot be changed.",1
173,"i 've always respected ron reagan . i voted for ronald reagan during his re-election . but i soon came to regret it , because as a gay",0
174,she does want to make a deal this crazy you see what the democrats are doing to the americans people wake up vote for trump 2020,-1
175,i was voting for biden but this changed my mind to trump \r\rit time to wake up \r \r\ri love america too,1
176,did not he call them realists and murderers? latinos who vote fire trump are 100% crazy.,-1
177,"is incomplete , and is missing some of his current goof-up 's , so it 's still growing ! his voting deterants : irresponsible behavior with c-19 shared psychosis at it 's best",0
178,lol trump will win washington state and at least 45 other states. we are done with the swamp and cnn lies.,-1
179,"nancy is playing politics . if this stimulus is passed , it 's a huge win for trump for helping the working class , so if she can stall this out and make it seem",-1
180,if sleepy joe wins this was definitely a rigged election.,-1
181,trump not the only problem the people in the white house and the republican's that support him and we need vote all of them out,0
182,"as democrats . whether they are rioting , destroying property and murdering americans as we saw this summer we must vote republican november 3rd if we are going to preserve our freedom and our democratic republic .",0
183,super important . trump is absolute opposite of reagan . he is the devil 's puppet and only the idiotic vote for a clown like him . bring the party of reagan and lincoln back !,0
184,trump should win unless you want sleepy joe to be stabbed in the back by kamala. joe is too old. can you imagine kamala as president?,-1
185,"biden has been a politician for 47 years what has he done about police violence ? black people have been voting primary for the democrats for 56 years what has it done for us , especially black men ?",-1
186,trump is winning like crazy ! biden can get a single person to go out to his rally don see any one supporting him,1
187,"the president ... the most important job most likely in the world , voted for by tens of millions ....... and she says he 's not that important , and biden tells him",1
188,"for gods sake vote trump 2020, vote in person on election day!!!!!!",-1
189,"predicted al gore would beat bush , which did not happen . he cited `` well he won the popular vote '' , yet predicted trump would win despite him losing the popular vote . he can not have it",0
190,what is happening with trump . you are helping to destroy this country ... keep that in mind when you vote and who you vote for ! if you vote for trump or republican senators you are helping to destroy,0
191,ronnie would have voted for trump right now. facts,0
192,trump doing anything to win nope his time is up,0
193,". they are n't rushing anything through and they are not doing anything illegitimate or illegal . they have the votes , they should push it through ... the seat is open now trump is president now . you can",0
194,trump will be winning big time as americans #makedemocratscryagain!!!,0
195,if trump do not win we are all going to loss alot and joe is a man that cannot keep his hands off of all the women and children,-1
196,she's why trump will win again.,-1
197,vote for trump vote for great america,0
198,"they said this back in 2016 ! ! look like this , poor snowflakes , if joe biden win 's our country will be done ! ! but our president will win in a landslide .. fake poll",1
199,wonder what 's going to happen ? ? ? \r\rif trump wins the election = biden and son go to jail for treason\rif biden wins the election = pelosi invokes the,1
200,cry me a river. trump showed everyone what he was and half of the country still voted for him.,0
201,or not . every single person of age who marched in the streets this year for black lives matter is voting for biden . most seniors who are offended by trump and the republicans for saying that they should just,-1
202,a presidential election year and the senate voted on them before the presidential election . the dems hope the people won know this fact and try to make it seem it an unusual thing only trump is doing . the,0
203,it . as a registered republican for several years i have chosen to become an independent and i am certainly voting for joe biden in 2020 .,1
204,trump won by cheating on the election in 2016.,0
205,trump will do and say anything for votes no bar to high and no bar too low . law and order means zero to him he will,0
206,if people vote for her and biden this country going suffer because they will lock u down and take away your rights and black mens u need to fear them,-1
207,per his ideas . biden ... wait till after election . president lbj exact words have these n ..... rs voting democrat for the next 200 years . we are all one ... we are americans . god bless,1
208,"voting for trump in 2020 is not being conservative. its down right being an evil idiot. save america vote biden, then do better than trump next time.",-1
209,"she probably works in one of trumps businesses, the latinos that work for him will vote for him they do not want to lose their job.",-1
210,the ppl who voted for trump 2016 were unsure now they are convinced. cnn will feel sick come nov 3rd .,0
211,there is no way donald trump wins reelection. he has pissed off too many people.,0
212,vote for trump vote for great america,0
213,trump has proven that republicans will vote for anyone or anything wearing a red tie . neither party has been put to such a test .,0
214,william barr of all people knows how donald operates.with lies and alibises a case of making bs up sad but true.no facts just lie after lie this is not a game. where does this end november 3 2020biden vote,0
215,trump was voted in on promises and will be re-elected on his massive results. ice cubes knows the truth.,-1
216,ive tuned trump out. my response will be my vote in november,0
217,"candidates , so it is up in the air . since biden is leading by so much why bother to vote for him . cnn convinced me he does not need any more votes so i 'll stay home again",1
218,"in 2016 cnn say same like this, but trump win the election, stop fake news man, go honest.",0
219,just remember fellow republicans. it's a secret ballot. no one will ever know you voted for joe biden.,-1
220,trump is the best vote for trump.,0
221,vote biden,1
222,bill bar u lying isn't it was in trp winning 216 get a life of u own and get off mr trump own,0
223,that's what television is all about. americans are not voting for biden and yet they claim he's ahead. on all stories about biden they lock out all comments.,1
224,just remember fellow republicans. it's a secret ballot. no one will ever know you voted for joe biden.,-1
225,joe can still win even if hunter is smoking crack...,-1
226,the new donald ...too little too late ..the voting has started. pack your suitcase is good advice.,0
227,"hehehe ... trump preaching what he does not believe in ? another trick to have you run to the voting polls to vote for him . trump is not human , he does not care about you or anyone",0
228,then why show the map......show trump winning in every state[50] that will get the biden vote........scare the sh-t out of them,-1
229,i am an independent that voted for obama in 2008 and abstained from voting in 2012 and 2016.for anybody that does not live in a,-1
230,trump will toss a political nuke into the mix the friday before the vote is my prediction . it will be outrageous & unverifiable before the vote . it will have no validity,0
231,to sleep ... '' hunter biden is china 's drug addict .... and you sick phucks are enabling him by voting for his pedophile father .. effing gross . you should be ashamed of yourselves .,-1
232,"bernie sanders . clinton basically made it seem like the fix was in and anyone who felt it inconvenient to vote , did n't . it sure looked like clinton had the fix in place in 2016. at least that",0
233,"to increase the judges so they could pass his new deal plans ..... the democratist of course want biden to win so they can be pardoned but if trump wins , they want so seats on the supreme court to",-1
234,trump will win . you all can start crying now . obama can drone strike him out of office . hillary can,0
235,vote for biden and mandated vaccines are forced upon everyone. no one else worried what else will be mandated under a democratic president. trump 2020 for choice,0
236,"projections mean jack diddly spit, get out there and vote donald trump out! only your votes can save america from a corrupt criminal president and his equally corrupt and complicit enablers!",0
237,remember you all thought hillary clinton was going to win and look wat happened you are being lied to by mainstream media again biden is a crook hes winning a prison cell thats it,1
238,vote vote vote ! trump 2020.any biden supporters are fools for continuing to be after this weeks bombshell hunter biden news.,1
239,bidens winning 2020!!!,1
240,"but on election day we will see the same that we saw in 2016 or probably with the popular vote win as well for president trump . hillary had people behind her that could fill a gym maybe , biden",1
241,trump 2020!!! vote red!! i do not want to live under socialist rule!!!,-1
242,vote red trump 2020 harris is an idiot,1
243,and lying to the american people ! ! trump will win in a tsunami/ landslide ! ! ! 335 electoral votes and will serve another 4 great years ! ! ! ! !,0
244,thank you ron . you shared with intelligent peaceful concise integrity . i hope we save our world and vote trump out ... please pray for our democracy and vote trump and his senatorial supporters out ... or we,0
245,white man that served as vice president to the first black president ... race is still an issue in today vote i understand the history but how can you accuse any other part of racism when the problems exist biden,-1
246,"the biden family ! true , all politicians seem to be corrupt , beyond belief . that 's why trump won 8n 2016 , and will again , in 2020.wake up , america .",1
247,"i have always voted republican and voted against trump last time. i been on the fence , but this convincing more and more to vote for trump.",0
248,"our family has never taken a poll but we have 7 votes for trump in the family. i never believe polls, there is just too much to be skewed in them.",0
249,trump win 2020 to prison.,0
250,i am sorry but we are not voting for biden harris is winning this one,1
251,so : vote for joe biden and make china even greater again ! ! ! smithfield foods in sioux falls south dakota,-1
252,trump is a psychopath and narcissist. please pray for our democracy and vote trump and his senatorial supporters out,0
253,clearly u can see many people have on mask...cnn is nutz..l cant wait til trump win again,-1
254,trump aka orange clown is talking about biden's good character. it is like he is describing biden and why you should vote for biden instead!!!,1
255,kamala laugh after lemon asked about her staff getting covid changed my mind voting for biden. she had no answer for trumps facts.,1
256,lot of blue voters due to the ongoing lies and corruption in the democrat ranks.\rthe only way biden could ever win this if if he fixes the election by fraud .,-1
257,27 million have already voted ..... the biggest mobilization / unification of liberal / conservative / independent voters in the history of the u.s.,0
258,"biden said, ""you ain't black if you do not vote for me!"" that's racist! vote trump/republican!",-1
259,"i live in california and i cannot find biden supporters anywhere.rigged media, rigged polls and rigged voting is all it looks like.",1
260,covid is biden campaign . it 's all bullshit . trump will win with the largest win in history . and no matter what he will win . voter fraud will be,-1
261,"trump does not even know half those words, pretty convinced he's illiterate. ya'll voted in a turd and have been trying to polish it ever since. time to make america great again, biden/harris 2020",0
262,much respect to cube! i thought he was going to trash trump. he didn't. much respect. president trump and republicans stand with african americans! vote trump/republican!,-1
263,"trump's supporters, do not waste your time voting for trump. please stay home and watch biden wins in a landslide victory",1
264,tapper is such a karen. how is he going to react when trump wins the election?,1
265,a pawn for camel a and the left . if you want to allow the destruction of the dem cities vote for this joke .,-1
266,they are talking about suburban women while biden is losing for black men votes smh.,-1
267,vote president trump. he's the best president since george washington. do not believe fake news cnn and the mainstream hypnotic media. joe biden has nothing to offer america,1
268,if trump wins will the democrats allow him to do his job and not cry and die and except the results,0
269,up and demand better for ourselves ? these 2 parties have been failing us for 150+ years yet we keep voting them back into office . i guess we deserve the laughable disaster we become as a nation .,0
270,i still think tt trump the one your country should vote for.he done alot for us....from canada,-1
271,6 votes for trump here,-1
272,trump and his weasels robbing social security...robbing medicare. be informed vote to save america from this trump crime family.,-1
273,"clinton is ahead more than biden against trump, but trump still won",1
274,"willing to starve the entire country , the voters on both sides , their own supporters just to say they won the battle .",-1
275,"trump and his campaign is just using ppl like you and other blacks to keep blacks away from voting for biden , and others voting for him . you really believe they mean you guy 's any good",-1
276,vote for biden if you don want your parents to die,1
277,polls are nothing without your vote . period . millions lives depend on your vote . aca will absolutely be repealed under donald trump presidency,0
278,polls are biased. five thirty eight was wrong by 1.1 points. trump is winning,0
279,mr trump will win against he is good president he is stand for china .without trump china will create new v\xedrus to kill more people.let all vote for trump .,-1
280,"whats odd is how biden is projected to win pennsylvania , yet in pennsylvania the number of registered democratic voters decreased 50k from 2016 , and the number",1
281,melania voted biden,1
282,i will be shocked if biden wins i voting for biden but i will be shocked if he wins,1
283,vote for trump vote for great america,0
284,cnn will be crying when trump wins again,0
285,i disagree .. biden obviously has a lock on this election .. btw electoral college votes are whats important .. not the general public .. pointless to go out to vote .. personally id rather,1
286,i am a russian and i sincerely don understand how americans can vote for trump when he allowed so many deaths ! ? my book about trump : 'the room where it,-1
287,trump has not chance of winning donald trump going to lose,0
288,do not get complacent. vote trump no matter what! ususus,0
289,any one of them even nixon looks a hell of a lot better than trump to me cuz i am voting for joe but yeah i do not even recognize that trump thing as the republican party not that i,-1
290,"vote for biden and harris is you care what becomes of our country, god bless america,",1
291,do not lie. trump is going to win 100%,0
292,"i do not vote for biden because he is a descendent of slave owners from allegany county, maryland.",1
293,i am a russian and i sincerely don understand how americans can vote for trump when he allowed so many deaths ! ? my book about trump : 'the room where it,-1
294,i bet $ on trump . the odds when i placed my bet was $ 100 to win $ 200 at the time . yesterday i got a message saying my bet had been voided . maybe,0
295,i am a russian and i sincerely don understand how americans can vote for trump when he allowed so many deaths ! ? my book about trump : 'the room where it,-1
296,harris you are showing your lack of intelligence. therefore i will not be voting for you and joe biden as neither of you are mentally qualified.,1
297,"biden only can make change after the election, if he wins - if! trump will only keep talking to black america, if he doesn't, he'll just look bad, politically.",-1
298,i like how in the interview she said she 's not even going to vote . it was n't until an uber driver shamed her for not voting that she decided to vote for,-1
299,"if biden wins it will be an eye opener when he picks their pockets with his tax raise that when reality sets in and they say why did i support him , too late",1
300,i am a russian and i sincerely don understand how americans can vote for trump when he allowed so many deaths ! ? my book about trump : 'the room where it,-1
301,"you think the polls are showing a biden win in the us, you should see the polls in china; he's way up with the ccp, those who oppose biden are disappeared and murdered.",-1
302,i'd rather vote president trump back instead of biden,1
303," voting records are being set , blue tsunami is coming . we are not sitting and hoping our neighbors voted",-1
304,"make it full term , he will step down , be forced to step down or just passaway . a vote for joe is a vote for kamala.6 ) she knows there will be a land slide victory for trump",-1
305,i wonder if joe biden thinks ice cube won't be black if he votes independent?,-1
306,"play tough guy . unfortunately the left is so good at lying to the black community in order to get votes , most will blindly vote against trump without doing their own research . if you want a legitimate perspective",-1
307,"knows 3th war with no help from europe because all the world do not like donald trump only russian , vote america joe biden he is for a medium class and poor people , donald trump he is for a",1
308,"it time for a major change in the usa, and it starts with voting for joe biden and kamala harris!",1
309,"deluded into believing black people are given way too much already will react ? trump could careless about the black votes as long black people stay home . honestly , i find cuomo the white man more honest than this",-1
310,"thank goodness trump will be deposed if people vote . trump , the self-appointed and order president , supreme covid-19 expert , grand social communicator , the foremost",0
311,"ice cube : biden we need to talk now .. biden : vote me in first if you 're black , then we can maybe talk ... trump : do not worry",-1
312,! ! we need to get out all republicans in office as possible because they are corupt ! ! ! vote biden & harris let 's take our america back this is not donald trump 's america let him go,1
313,according to fivethirtyeight this moron still has a 12% chance of winning and that probably does not include all the cheating he intends to do.everyone needs to vote to give biden a cheat-proof margin.,1
314,he knows we have to vote for somebody...vote for trump they already know us blacks will vote democratic but what has democratic done for us ??? cmon now,-1
315,"hello cnn ,, you guys try whatever you can ,, but no use .. trump will win again... trump 2020",0
