,docs,target
58,a presidential election year and the senate voted on them before the presidential election . the dems hope the people won know this fact and try to make it seem it an unusual thing only trump is doing . the,trump
59,trump won by cheating on the election in 2016.,trump
60,trump will do and say anything for votes no bar to high and no bar too low . law and order means zero to him he will,biden
61,the ppl who voted for trump 2016 were unsure now they are convinced. cnn will feel sick come nov 3rd .,biden
62,there is no way donald trump wins reelection. he has pissed off too many people.,biden
63,vote for trump vote for great america,trump
64,trump has proven that republicans will vote for anyone or anything wearing a red tie . neither party has been put to such a test .,biden
65,william barr of all people knows how donald operates.with lies and alibises a case of making bs up sad but true.no facts just lie after lie this is not a game. where does this end november 3 2020biden vote,biden
66,ive tuned trump out. my response will be my vote in november,neutral
67,"in 2016 cnn say same like this, but trump win the election, stop fake news man, go honest.",trump
68,trump is the best vote for trump.,trump
69,"hehehe ... trump preaching what he does not believe in ? another trick to have you run to the voting polls to vote for him . trump is not human , he does not care about you or anyone",biden
70,trump will toss a political nuke into the mix the friday before the vote is my prediction . it will be outrageous & unverifiable before the vote . it will have no validity,biden
71,"projections mean jack diddly spit, get out there and vote donald trump out! only your votes can save america from a corrupt criminal president and his equally corrupt and complicit enablers!",biden
72,"everybody just stop ? ? ? ? now listen , we all need to vote the republicans back in ? why ? ? ? ! ! ! ! ! ! ! its simple ?",trump
73,"did it for him , plain and simple . character clearly was n't an important attribute for the people who voted for that `` wreck of a man '' .",Neutral
74,i will vote for anybody to get trump out the white house,biden
75,what you gonna say in november 4 when trump wins again?. trump 437 electoral votes in 2020.,trump
76,"he sure voted with trump most of the time while in the senate, a little late now that he cant make a difference",biden
77,did not his son say explicitly that trump would not win in 2016?,neutral
78,it's onley you on cnn who can talk the biggest shit trump will win again biden whill loose again and maybe they must frow you in jail democrats is the biggest problem for america god bless trump,trump
79,trump might win again,trump
80,mission but it will not end the way he and his followers believes . trump only needs their votes to win this election . he 's got unfinished business to take care of and he can not do this if,biden
81,"how can you say this crap with a straight face, trump wins hands down",biden
82,"nobody believes your ""projection bs"" ! you did it to yourselves!pres. trump will win in a landslide!",biden
83,trump will win easily from the look of things,trump
84,so his model predicts trump wins and then refutes that. wtf?,Neutral
85,trump ...exactly what the country needed ...criticize him all you want ....he will win because the country wants it .,biden
86,i cast my first vote for president for your dad . i believe trump and your dad would have gotten along . your party,trump
87,"that did not want `` someone else '' other than trump . but , we certainly were n't going to vote for hillary . so ... trump was the only option.now ? trump is filling mega-stadiums with supporters , boat",biden
88,"that did not want `` someone else '' other than trump . but , we certainly were n't going to vote for hillary . so ... trump was the only option.now ? trump is filling mega-stadiums with supporters , boat",neutral
89,"that did not want `` someone else '' other than trump . but , we certainly were n't going to vote for hillary . so ... trump was the only option.now ? trump is filling mega-stadiums with supporters , boat",trump
90,tweets this . well he is right . character counts.honesty countsintegrity counts trust countscharacter counts to ur allies too.please usa vote for character this nov. love from australia,trump
91,"that did not want `` someone else '' other than trump . but , we certainly were n't going to vote for hillary . so ... trump was the only option.now ? trump is filling mega-stadiums with supporters , boat",biden
92,laughing so hard!! a dumb biased prof. says trump isn't inspirational and charismatic...trump will win period. mark this post,biden
93,whoever vote for the criminals biden family and scum bags drug cartel trafficking god vs eviltruth vs liesmoral vs inhumanitygood vs badrightists vs leftistsrepublican vs democratic ,biden
94,whoever vote for the criminals biden family and scum bags drug cartel trafficking god vs eviltruth vs liesmoral vs inhumanitygood vs badrightists vs leftistsrepublican vs democratic ,trump
95,"divided , corrupt country and for trump to get away with all but burning it down yet still have people voting for him proves that . his shenanigans shed light on what is reality and the only difference is that",Neutral
96,whoever vote for the criminals biden family and scum bags drug cartel trafficking god vs eviltruth vs liesmoral vs inhumanitygood vs badrightists vs leftistsrepublican vs democratic ,biden
97,hahaha trumps gonna win !,trump
98,whoever vote for the criminals biden family and scum bags drug cartel trafficking god vs eviltruth vs liesmoral vs inhumanitygood vs badrightists vs leftistsrepublican vs democratic ,biden
