,docs,topics,target
62,clinton is ahead more than biden against trump but trump still won,1,biden
63,vote for biden if you don want your parents to die,1,biden
64,whats odd is how biden is projected to win pennsylvania yet in pennsylvania the number of registered democratic voters decreased k from and the number,1,biden
65,melania voted biden,1,biden
66,i will be shocked if biden wins i voting for biden but i will be shocked if he wins,1,biden
67,i disagree biden obviously has a lock on this election btw electoral college votes are whats important not the general public pointless to go out to vote personally id rather,1,unknown
68,vote for biden and harris is you care what becomes of our country god bless america ,1,biden
69,i do not vote for biden because he is a descendent of slave owners from allegany county maryland ,1,biden
70,harris you are showing your lack of intelligence therefore i will not be voting for you and joe biden as neither of you are mentally qualified ,1,unknown
71,if biden wins it will be an eye opener when he picks their pockets with his tax raise that when reality sets in and they say why did i support him too late,1,biden
72,i d rather vote president trump back instead of biden,1,biden
73,knows th war with no help from europe because all the world do not like donald trump only russian vote america joe biden he is for a medium class and poor people donald trump he is for a,1,biden
74,it time for a major change in the usa and it starts with voting for joe biden and kamala harris ,1,trump
75, we need to get out all republicans in office as possible because they are corupt vote biden harris let s take our america back this is not donald trump s america let him go,1,biden
76,according to fivethirtyeight this moron still has a chance of winning and that probably does not include all the cheating he intends to do everyone needs to vote to give biden a cheat proof margin ,1,biden
77, do you honestly want to wait years because there s no way anyone in their right mind would vote for joe biden if anyone is contemplating voting for biden it s out of spite ,1,trump
78, well you can vote for trump you can vote for trump joe biden ,1,trump
79, vote for biden that what you wanted to do from the beginning you were disrespectful to our president,1,trump
80,if biden wins we all lose ,1,trump
81,biden i see some hope from a small amount of the republican party that are willing to speak and vote loser the evil that trump has perpetrated country over party ,1,biden
82,vote for biden and alldemocrats,1,biden
83,joe biden is so out of it that hi is going to vote for trump trump come on man lest vote for trump ,1,trump
84,biden got this one in the bag landslide victory looks like i do not need to go vote on this one ,1,biden
85,i can see a realistic path to victory for trump in his best scenario biden win by well if people stop voting maybe that is his only chance so vote,1,biden
86,are you seeing these republicans your own people are voting against trump hahaha but i know you people will call even these peoples as fake biden ,1,biden
87,harris sit down dude she tore your dumb ass up and you move immediately to a reject lol what a joke vote trump the lesser of the two evils ,1,biden
88,signs way outnumber the biden signs this will be a trend across the country i feel like i voted for the first time ever this year and i am proud to say i used it on mccaul ,1,biden
89,democrats should be worried i really hope biden does win but i am afraid he might not ,1,biden
90,biden has more in his pinky finger than trump and all his children put together ffs vote people ,1,trump
91,voting for biden in utah despite it probably going red anyway every vote counts clearly the polls arent always fool proof so maybe utah will flip to blue biden harris ,1,biden
92,again and biden won he was just put in place as a puppet to let the american people that do vote for him no oh he s not like bernie he s not a full blown socialist but once he s,1,biden
93,vote trump to stop biden crime family,1,biden
94,rudy daughter is voting for biden ,1,biden
95,lmfaoo everyone knows this is bullshit only people yall convince biden will win is people that do not leave their homes haha,1,biden
96,when biden becomes president believe he will try his best to deal with it biden everybody voted early new america ,1,biden
97,vote vote biden or,1,biden
98,usa should not be lazy voters go out to vote biden,1,biden
99,i voted for trump voted biden i dont vote for losers only winners and biden is president ,1,biden
100,if biden wins by a miracle then looters and black crimes win the ideal guy demos lost ,1,biden
101, all proof that the biden are all crooks liberal news does not tell the truth trump vote for freedom ronald regan predicted democrats are dangerous ,1,trump
102,it s well predicted by the proffesor with his main state of play for biden to win the presidential election but good analysis there are also more voters in play for joe biden,1,biden
103, we hope that biden will do his best to deal with this issue after he is elected president vote early new america biden come on ,1,biden
104,trump will win a landslide is on the way stop misleading people joe biden is not winning anything ,1,trump
105,it is so sad that even of people might really vote for the corrupt biden criminal family or the clinton mobsters ,1,biden
106,look at what happened biden is n t going to win the election and do not be surprised if even carlifornia votes for trump because people on all sides are tired of the democrats and their bullshit ,1,biden
107,anyone who votes for biden must consider seriously that kamala harris who is the type of lady calable of giggling and laughing,1,biden
108,lol donald trump is going to win again for sure biden gets people to his rally s ,1,biden
109,my prediction is trump going to win with a landslide why biden harris is not a good pick from democrats and trump fulfilled whatever he told in election ,1,biden
110,joe is so far ahead in the polls that your vote won t matter forget about voting biden said to avoid super spreader events and voting is a super spreader stay at home and stay safe ,1,biden
111,my prediction is trump going to win with a landslide why biden harris is not a good pick from democrats and trump fulfilled whatever he told in election ,1,biden
112,lol clowns biden wins,1,biden
113,if trump wins the cities will burn if biden winz the cities shops will close down the masses will remain un,1,biden
114,if trump wins the cities will burn if biden winz the cities shops will close down the masses will remain un,1,biden
115,vote for the new america in as soon as possible biden is president come on ,1,biden
116,seniors would lose their social security under trump by vote him out joe biden is the best choice for america ,1,trump
117,no republican would ever vote for biden these are dishonest people ,1,trump
118,a crooked do nothing liberal hack is up in the polls are you kidding trump wins this in a landslide again if you vote for biden you need to pay more attention ,1,biden
119, hours if we dont get it before election wait until march if biden wins,1,trump
120,at the polls and remembering what happened in not being complacent and getting off of their butts and voting i do not care if biden has a chance of winning get out and vote,1,trump
121,at the polls and remembering what happened in not being complacent and getting off of their butts and voting i do not care if biden has a chance of winning get out and vote,1,trump
122,at the polls and remembering what happened in not being complacent and getting off of their butts and voting i do not care if biden has a chance of winning get out and vote,1,trump
123,ago and look what he has done to this country please do not make the same mistake again vote for biden vote all the way blue to save our country god bless america ,1,biden
124,relax no need to vote biden has it in the bag just chill,1,biden
125,breaking mr vice president joe biden voted early today but accidentally voted for trump ,1,biden
126,cannot wait for biden to forget to vote,1,biden
127,trump will win in the end biden is corrupt ,1,trump
128,from abroad it looks like a trump victory indeed it seems impossible americans would vote for a president harris or a president biden but that is up to americans to decide if,1,biden
129,idiots democrats supporters still vote for them they deserve what they ask for i wish biden wins so more supporters of democrats suffer ,1,biden
130,are people actually voting for biden based on policy ,1,biden
131,the rally s to understand who is leading i am neutral as i can not vote but trump will win in a landslide and i think the biggest issue for the democratic party is you are losing a,1,trump
132,i guess biden landslide no need to vote,1,trump
133,american government the only hope we have at this point in american history is the right choice in our vote the only right choice is joe biden ,1,biden
134,why are we assuming trump is n t going to get the exact same votes as before they talk like biden has a magic wand that changed trump s voters into biden,1,biden
135,vote biden to stay in the bind ,1,biden
136,if oprah winfrey asks the suburban housewives to vote for biden it will be game over for trump,1,biden
137,if you want harris as president vote dem because biden is too old and she will be doing the work,1,biden
138,this we ve got steam if anyone tells you or you get the feeling you might not need to vote this time or that someone else has your back remember obergefell v hodges unemployment response and everything,1,biden
139,what no way now i am gon na vote for biden gulianis daughter must be right she must be a genius or something her,1,biden
140,looking at who the democrats chose as a democratic nominee and who they chose as their vp hopefull i be voting trump years of biden and all we got was the super predator bill him not reading the iraq,1,biden
141,if you a republican voting for biden give this a like ,1,biden
142,lol joe biden needs your vote so he can be elected to the senate or caucus or congress p,1,biden
143,those vote biden hope for are the lazy people they are not going to vote waiting day after day and say forget about it will not helping me either one,1,biden
144,harris still get my votes because she is beautiful i m black and i am all for biden and my city is,1,biden
145,vote for trump he can do the job not biden,1,biden
146,destroy the economy and he will take away our right to protect ourselves be smart america do no vote for biden ,1,biden
147,other than the people who died to covid trump will get about of every vote he got in so biden will need every vote hillary got plus all the new voters to maybe win ,1,biden
148,biden sure win based on cnn its double the lead in soccer this is sure win the first president that dont need to campaign so much and win a rock star,1,trump
149,vote biden it does not matter if joe is ahead in the polls get out and vote in numbers that cant be ignored,1,biden
150,i do not care who says what i and millions of others have already voted for joe biden time to say babye to the divier in chief,1,biden
151,destroy our economy he will take away the right to defend ourselves stop this insanity do not vote biden for president ,1,biden
152,do not believe it this is liberal disinformation intended to sway your vote to biden biden will steal your wealth enterprise and rights he will destroy our economy through,1,trump
153,i know what i heard biden say in a dark meeting an he definitely don have my vote people wan na attack cuz one self pick who they choose i say do yur research i not gon,1,trump
154,hahaha you think biden will win because of a few rigged polls the same polls that said hillary would win in and lost this is just too funny ,1,biden
155,polls mean nothing biden family are crooks maga your kidding if you think that sleepy joe will win anything ,1,biden
156,trump will win liberals will cry and if u think hillary couldn t beat trump but biden can you all been smoking the good good shit this election ,1,trump
157,they obviously dont know what they are talking about ppl are voting for biden because they dont like trump,1,biden
158,go vote joe biden for pr xc sident usa yes ,1,biden
159,draft dodger rtump is the most incompetent corrupt person in history vote in large numbers save our democracy vote biden harris blue wave,1,biden
160,even i am not american i encourage the americans to vote for biden,1,biden
161,joe biden didn say work on this he said the election i guarantee you joe biden will disappear behind the scenes after the election and not even help if he wins or looses,1,biden
162,trump the way democrats are when u support trump if biden wins i guarantee u won see trump supporters crying and protesting about it if biden wins he won said and square and that that,1,trump
163,bernie sanders show polls and big rallies mean nothing in he always had x crowd than joe biden but he lose pretty bad the people did not go vote,1,trump
164,i am democrats voting biden but damn it man i think we re in trouble ,1,biden
165,could ever do because soros has taken over the demo socialist party biden is a coverup because if he wins and he steps down becaus because his dementia is to far gone to be president when this happens,1,trump
166,do not even know the make this but how can americans even vote for biden with all this corruption and how is even doing better than trump according to the media baffels me ,1,biden
167,can believe people are really going out voting for joe biden i mean i just can understand it ,1,biden
168,so if biden has it in the bag i not going to vote at all biden ,1,biden
169,please vote donald trump i am christian and joee biden is going to take down the churches,1,biden
170,interesting tactic maybe they ll just vote for biden if we make them think trump has no chance ,1,trump
171,liars they trying to make it seem like biden is leading so sheep will follow other sheep and vote for him but everyone i know is trump and i know a lot of people,1,biden
172,all dogs will vote for biden,1,biden
173,he is no republican if he is voting for biden,1,trump
174,jeff flake voting for joe biden is only going to embolden more republicans to get up to the polls and vote for trump nobody likes this guy that s why he lost his last election,1,biden
175, people such as obama biden and kamala dr fauci is next it doesnt matter who you choose to vote for there should be some standards of character for any president they are not perfect and,1,biden
176,the enthusiasm for trump is amazing compared to hidin biden enthusiasm seems as though the left is not really voting for biden they are simply voting against trump ,1,trump
177,most immoral he doesn have the most basic character biden has to win big,1,trump
178,i vote trump and my wife vote biden the problem is all my democrat friends got there ballets and all my republicans friends haven got there hmmmmm thanks washington state,1,biden
179,this senior suburban white woman voted early in person in ohio for biden and i took friends and family with me,1,trump
180,of course he d still have the lead it s to win if you do not take away any from biden would still win,1,trump
181,please vote not voting for biden is ultimately a vote for trump ,1,trump
182,yeah right biden already won what a joke going to be funny when trump wins it,1,biden
183,america let vote for a better future go biden and harris ,1,biden
184,seems to me that those polls may be skewed towards biden so if they fake people voting for biden they hope they get some herd mentality where people will think well everyone else is voting,1,biden
185, if your voting for biden please watch and consider changing your vote thank you maga,1,biden
186,voting for trump doesn mean you love trump it means you love america voting for biden doesn mean you love america it means you hate trump notice the first sentence is the only one with loves and no hate ,1,trump
187,voters not having to think is not necessarily a positive effect of a biden win decades of voters not thinking is what brought the country to this point and that started long before trump ,1,biden
188,maybe a vote against biden really means a vote against this one ,1,biden
189,have been to and stayed in and if trump is re elected i will be seeking permanent residency and if biden wins not only is the us done the world and christian civilization is done as we know it ,1,unknown
190,it and his own lawyers stupidly sent an email to the repair shop guy after it had been seized vote trump biden voted for iraq war pushed through war on drugs laws and now he is proven,1,trump
191,joe biden has this in the bag no need for me to vote for him now ,1,biden
192,of president she laughed as she kept repeating a debate my year old parents are considering not voting biden harris she lies and flips and is laughing and being disrespectful to the office of president of the,1,biden
193,i guarantee if biden wins by a miracle they won t even answer the phone when ice cube calls ,1,unknown
194,i am scared of what will come if biden wins,1,trump
195,if youre watching this and you havent voted get out and vote please your voice needs to be heard wether its trump biden kanye jorgensen or whoever let your voice be heard,1,trump
196,please i am begging you to vote as if biden is behind please god do not be complacent you have to vote,1,biden
197,ignore the polls vote for biden like your life depends upon it ,1,biden
198,ignore the polls vote for biden like your life depends upon it ,1,biden
199,i have read today you made me smile its true and sad at the same time lets vote biden harris ,1,biden
200,not all lies about the president but biden is a criminal like obama and hillary the people that vote for biden arnt going to like what will happen once he s elected im sure he will be,1,biden
201,trump like to vote for trump dislike for sleepy joe biden,1,trump
202,biden graduated th of students in his law school class had only a partial scholarship and did not win top honors in his undergraduate discipline the newsweek reporter wrote that biden appears glib and intellectually insecure ,1,biden
203,democrats vote for biden yet they know nothing about him but do it just to get out trump that,1,biden
204,if you vote for biden you need a mental evaluation,1,biden
205,lol harris looks like the devil compared to acb evil how can any person of color vote for her or biden,1,trump
206,joe will win and harris will become president,1,biden
207,i not republican nor democrat but the bottom line is trump refuses to denounce white supremacy voting with trump is voting with white supremacy biden said if he gets in office he will extend the,1,biden
208, they can not hug their grandkids that is the first reason i voted for joe biden it s the most painful there are a thousand other reasons i voted for,1,biden
209,character also counted during your presidency trump i ll remember that while i am voting biden harris ,1,biden
210,if you vote for the socialist biden crime family it will likely be the last time you will ever vote if,1,trump
211,i voted hilary and won t be voting for biden im voting trump sorry biden is an idiot,1,trump
212,if you vote for the socialist biden crime family it will likely be the last time you will ever vote if,1,trump
213,this man has lost his mind if biden was to win america would be history the only reason this guy is talking is because the election is so,1,biden
214,whoever votes for biden is in for the biggest shock of they re life you re life will change terribly,1,biden
215,nothing like idiots saying someone is corrupt while voting for biden lmfao thales democrats rape kids kill witnesses and pay off everyone those are facts,1,biden
216,very glad and happy to have cast my vote for this constitutional president watch as your communist dreams continue to burn biden voters going to love nov th when you cannot stop screaming and crying ,1,biden
217,even if donald trump wins the popular vote he will still lose the electoral vote to joe biden just like trump did to hillary in ,1,biden
218,never voting for jim crow joe or cabbage patch harris she s not even american,1,biden
219,yeah vote erally joe biden or donaldtrump just votestop hate even at ur opponent different people different education,1,biden
220,i would love to c a close race then i can enjoin the glory of winning more if donaldtrump winor we can try once again if joebiden win this time,1,trump
221,how about yall sub to biden and see what type of a goon you re really voting for ,1,biden
222,even biden is voting for trump ,1,trump
223,another reason to vote for biden,1,biden
224,trump is a fraud vote biden ,1,biden
225,christian families and friends said that trump is evil and that they are voting for biden ,1,trump
226,trump is the worst the absolute worst i voted biden harris ,1,biden
227,voted yesterday biden harris is the healthy choice healthy for america and healthy for all communities go vote and wear a mask go blue ,1,biden
228,idiot chief is calling others idiots vote him out enough is enough tired of listening to nonsense day in day out biden would listen to scientists that is wrong according to chief idiot,1,trump
229,trump is a controversial clown who will make america fall vote for biden and save america from falling ,1,trump
230,christian families and friends said that trump is evil and that they are voting for biden ,1,trump
231,to fix this problem just vote biden ,1,biden
232,moved to other countries which releases some amount of pollution into the air so just think whether you want to vote for biden for something that will not work and also cause huge problem for your fellow americans ,1,biden
233,moved to other countries which releases some amount of pollution into the air so just think whether you want to vote for biden for something that will not work and also cause huge problem for your fellow americans ,1,biden
234,vote trump out biden ,1,biden
235,vote vote vote vote vote joe biden for president vote early or vote on november ,1,biden
236,moved to other countries which releases some amount of pollution into the air so just think whether you want to vote for biden for something that will not work and also cause huge problem for your fellow americans ,1,biden
237,you all need to wake up please wake up we are gonna be taken over by communists if biden wins please think and use your heads do not watch these lies,1,biden
238,just get out and vote vote blue up and down tickets send a strong message to trump and his enablers biden harris ,1,biden
239,it s useless to think trump will do anything right for the united states voice your anger with a vote for biden harris do not be complacent people it s not in the bag yet ,1,biden
240,on man trump is the idiot and its sad that his supporters think he is god sending lmfao please y all vote biden harris real ppl to do a real job for use bring use back as a nation under god,1,biden
241,vote for biden ladies just get to work and pay those higher taxes someone has to finance your stay at home single mother sisters and those broke dudes that think the world owes them a living ,1,biden
242,if all that stuff about biden turns out to be true then anyone that votes for him should be sent to a deserted island with no contact from the outside world no way off,1,biden
243,trump shows us what an ignoramous he is every day more and more please vote for biden ,1,biden
244,i am tired of listening to trump i will listen to dr falchi my vote went to joe biden kamala harris i voted today i voted blue all the way,1,biden
245,trump said let me hear your thoughts biden said vote for me and i ll talk to you after the election just like dems do every years ,1,biden
246,usa has been better than trump as european who love your country i can only say to you to vote for biden even if he s not perfect everytime in europe we watch that orange puppet we feel,1,biden
247,praying i ve voted joe biden kamala harris,1,biden
248, or any of the msm for that matter everyone knows that biden is a tool nobody is voting for biden they re voting against president trump ,1,trump
249,november rd make your voice heard biden vote trump out end this insanity ,1,biden
250,people get out and vote if the polls say biden is winning by and you have n t voted get out,1,biden
251,and trump death cultists is as important to him as air to the rest of us crush him by voting for biden harris ,1,trump
252,thank god biden will win,1,biden
253,biden was chosen by god because it was the only way for trump to win again ,1,biden
254,trump is a moron vote him out biden ,1,biden
255,every vote for biden is a clear message to trump and to the world that america rejects trump s call for hate division ignorance corruption greed etc etc etc please vote,1,biden
256,yes biden is gonna win i dont even need to go vote now ,1,biden
257,have to vote trump now cannot vote for the biden crime family wow what a week ,1,trump
258,a vote for biden is a vote for lawlessness and marxism you stupid democrats ,1,biden
259,people are voting against trump more than for biden ,1,biden
260,if i was american i would vote biden this isn okay any more no matter how awsome his speech sounds about space and yes,1,biden
261,biden s campaign if joe biden will agree to give up his salary if elected president and whether biden wins or loses will joe biden agree to permanently give up the lifetime salary and benefits he currently recieves,1,trump
262,donald trump did it last time and the only way biden will win is if the democrats cheat cnn msnbc said the same in and look what happened to hillary lmao ,1,biden
263,it sad because people are so blind by their hate for trump they cant see what a disaster joe biden is and will rip the heirs out of their heads when trump wins again deja vu ,1,biden
264,you re nation if you do not stop this shocking trajectory the future looks very very bleak vote biden ,1,biden
265,why u do not shut up moran dr went and studied for the job he is doing what u are doing you are not qualified for it biden has already won ahhhhhh,1,trump
266,i can not believe people are voting for harris because thats who you are voting for biden if he makes it which is doubtful,1,biden
267,we have a moron in the white house get out and vote trump out of office elect biden harris send trump to russia ,1,biden
268,not want to spend my time wrestling in the mud with authoritarian people so i sincerely advise everyone to vote for joe biden and kamala harris and straight down the democratic ticket so we can get out of the,1,biden
269,we have to do some extra work and come together if we willing to win this election we must encourage our family and friends to vote remain true vote responsibly is avote for biden ,1,biden
270,trumps trump train if your for killing babies vote biden and his crack head son,1,biden
271,i hope trump dont loose becuse biden should be in prison and hes son trump needs to win so he can help,1,trump
272,trump knows exactly what he is doing his plan don work out and he will blame others vote biden ,1,biden
273,donald realdonaldtrump you need to vote for vice president joe biden joebiden and senator kamala harris kamalaharris joebidenkamalaharris in order to drain,1,biden
274,how trump acts so this is acceptable to them don get me wrong i not or don want to vote for biden either,1,biden
275,how trump acts so this is acceptable to them don get me wrong i not or don want to vote for biden either,1,biden
276,i voted for biden but it s hilarious to listen to trump and his bullcrap everyday he reminds us how much of a mindless bastard he is wrong man for the job biden ,1,biden
277,i just voted my husband just voted and my son just voted all trump we are going to win peeps biden is finished after his sons laptop revelation,1,trump
278,so who is voting joe biden and reasons why and you cant use because you hate trump as one of the reasons ,1,biden
279,imagine supporting blm but voting for joe biden i am open for discussion in the comments if you think you can outsmart me ,1,biden
280,biden s crimes because the american people deserve to know the truth about the presidential candidates they are going to vote for in november rd however joe biden s problems are getting bigger and bigger every day,1,biden
281,trump is only interested in his own political corrupt agenda the solution to all of this is to vote for joe biden ,1,biden
282,all you trump voters who are now voting for biden i forgive you and hold no grudges i commend your courage to admit you,1,biden
283,joe biden will go to jail regardless of winning the election or not the director of national intelligence john ratcliffe calls out rep adam schiff after schiff,1,biden
284,waiting for biden supporter crying compilation too bad most people aren t expecting biden to win xd,1,trump
285,nc here pulling the lever for biden harris and to my dear friend renee who just lost her mama and her granny in the span of days to corona this vote is for you ,1,biden
286,i did my part my house hold voted biden,1,biden
287,i already voted for biden,1,biden
288,vote for biden and this rubbish is what you ll get within the first months ,1,biden
289,you might want biden to win just like you wanted hillary to win though you forget that the american people will decide who sits in,1,trump
290,president trump wins by landslide biden is not capable of winning the election he has to rest for the time,1,biden
291,republican this time around anyone that watches liberal news is getting led to believe that biden is going to win and i am sorry to tell you that they re lying to you again ,1,biden
292,go vote your trump but biden will win this election biden ,1,biden
293,and twitter did by hiding the story of biden and his son on their platforms like guys wake up vote for trump ,1,trump
294,with all your lies trump you are going no where i will see you after joe biden wins the election ha ha,1,trump
295,you could still have voted for biden without dishonoring your father publicly sad is this not still using your dad to publicize yourself ,1,trump
296, cars at biden rally in north carolina tell me again how you think biden is going to win when trump gets thousands of people ,1,trump
297,presidential life who have bought the mainstream media trump energy and ineffectiveness our match biden and biden could never even win from electorate democrats nomination trump ,1,trump
298,in many of the states biden s was marginal at best no one even had to vote for trump because he ran essentially unopposed so they were motivated those were not polls they,1,trump
299,you really want an immature creepy trump to win biden all the way vote for biden if you want a man to run this country and not trump,1,trump
300,keep it up with your anti trump rhetoric as biden s campaign is falling in flames trump is going to win this election in a landslide trump ,1,trump
301,biden go vote,1,biden
302,no one voted for kamala harris as potus now we may inherit her when they pull a th amendment on biden for having alzheimer s kamala harris first black woman president ,1,trump
303,if your voting for biden watch this,1,biden
304,go out people and vote for joe biden,1,biden
305,disaffected disselutioned black and brown voters lmao anyone voting for biden is an idiot this is what your referred to if you do not tow the line ,1,trump
306,a vote for biden a vote for ccp,1,biden
307,vote for biden he will make your wagers higher trump is just going to go golfing and give the money to his kid instead of helping the hospitals ,1,trump
308,anything bad about biden is disinformation anything bad about trump is automatically deemed true trump is going to win again and until you keep your insane biases to yourself i do not think a democrat will,1,biden
309,are you serious harris you are so transparent and ugly inside if you and biden win america is doomed i can only imagine what will happen to us if people like you are making,1,trump
310,anyway november go out vote joe biden,1,biden
311,point in calling yourself an american when you act like a high school moron idiot get with it vote for biden and harris trumps ignorance and stupidity has already caused jobs and losses in the stock market,1,trump
312,those of us who are voting for biden have already made up their minds there is absolutely nothing anyone not even trump could do to change my mind ,1,biden
313,im voting biden regardless,1,biden
314,vote blue vote early vote joe biden and kamala harris ,1,biden
315,i already voted for biden,1,biden
316,trump is about to win by a landslide one has to be anti american criminal pos to support biden harris ,1,biden
317,trump sure does not have self confidence problem he thinks he s a god vote biden please,1,biden
318,her post and with harris going to run this country we are all in trouble biden is n t going to win harris is they have already shown they will be taking him down and out with the th amendment,1,biden
319,it would be refreshing to see joe biden get electoral votes lots of hardcore republicans on my job is voting for biden in this particular election ,1,biden
320,president trump has every single law enforcement union lifelong dems jumping ship to vote for trump and biden can not even get people to come to his rally s he,1,trump
321,is also about to be sentenced to a prison term i am apolitical and i do not care who wins the election but i am sure going to enjoy watching hilliary the bidens and maybe even obama,1,unknown
322,there anybody there who can give him a lollipop so he can keep his mouth shut so annoying vote trump pence out lock them both vote biden harris in make america back on track ,1,biden
323,hope biden wins be first president to be put in prison biden crime family,1,trump
324,biden hasn t won the election yet though just saying ,1,trump
325,and it doesn matter what smear campaign these stupid republicans come up with people have already voted and will vote for biden trump can climb into his coffin for all we care ,1,biden
326,illegal or wrongful here but it will be ok that if god doesn spare us a harris biden win in november they will just go ahead and increase the number of judges and pack it with left,1,trump
327,oh my gosh who are these people barrett is a class act i vote independent and this is exactly the kind of person that should be a judge cnn and kamala,1,biden
328,i already vote for biden go vote in person and early do not let trump steal this election,1,unknown
329,well this will just mean that trump chooses the nominee now rather then after he wins the election biden can win against anyone without the media and big tech cheating,1,biden
330,blue wave coming november go vote blue next president joe biden n his historical vp pic kamala harris to remove this liar racist narcissistic,1,biden
331,you do not know what you talking about you just as sick as hillary clinton and you just as sick as joe biden so make sure you vote for money because that s all you got going for yourself,1,trump
332,go go go please vote yes joe biden kamala harris,1,biden
