,Unnamed: 0,docs,topics,target
28,28,a new name i think they may be loser for a decade at least because if democrats win the justice department may very well fully investigate trump and his decisions in office his appointed,0,trump
29,29,not one among the patriots learn more our country s history our filipino culture and tradition s go out and vote trump ,0,trump
30,30,no vote a vote for trump,0,trump
31,31,everybody best vote in person early polling results show trump leading especially in toss up states ,0,biden
32,32,vote vote trump trump please for the love of your life ,0,trump
33,33,i hope trump does not win,0,biden
34,34,leftists right up until you lose just like last time keep grasping for straws trump will win by an overwhelming margin no amount of democrat cheating will stop trump ,0,trump
35,35,said he s running for senator this country is going to be in such horrible shape if the democrats win this election if you hate trump that s perfectly fine go ahead and hate his buddy guts but,0,biden
36,36,party there s no longer a republican party it s a trump cult trump needs to be voted out or our nation is going to keep crumbling i am not a republican or a,0,biden
37,37,i really do not understand how people would still vote for trump i get it if you either vote all republican or all democrat but i think,0,trump
38,38,trump has got a new script writers he doesn care or understand the word vote vote vote vote vote for us that can not we are coming to the promised land ,0,trump
39,39,democrats underestimate the capacity and desire of republicans to cheat and steal the election at their peril every vote matters do not believe that the election is in the bag and you do not need to vote we,0,biden
40,40,the problem is that some people never vote the electoral is going to put trump back in office so it probably does not matter if you vote anyway they always do what they want ,0,biden
41,41,with his promises made promises kept resonates strongly with the american people i predict trump will win again ,0,trump
42,42,the sad fact that trump still has a chance of winning says a lot about where america is now ,0,biden
43,43,the bright side is trump wins again is that i get another years of watching republicans pull the biggest bs to justify whatever he does ,0,trump
44,44,i would vote for the former great president ronald reagan before trump as well ,0,trump
45,45,as an independent voter i vote for who i believe is the best candidate for the office of the presidency i voted for ronald,0,biden
46,46,donald trump does not care who supports him as long as they give him money or vote for him hell i bet if nambla openly supported or gave money to donald trump he d be,0,biden
47,47,your nursing home you think your speaking for the american people really that s why trump will win again and you do not represent no one but yourself when you speak we who is we,0,trump
48,48,if he goes talk to trump he has already made a choice either way it sways votes to that person,0,trump
49,49,are the the elite the connected guess what the other is voting trump i hope democrats get their hopes up again ,0,trump
50,50,win for how many anti trump eligible voters there are an overwhelming number of them do not care to vote some view it as others will win it for me while other people are just too,0,biden
51,51,the closet trump voters no longer exist those people are now ashamed they voted for trump in and will not in ,0,biden
52,52,if trump wins the kkk white supremacists racists and worst off all russia wins,0,biden
53,53,i gon na have to throw you under the bus if you lose first term was a fluke it won happen again ,0,biden
54,54,yeah i remember using polls showed hillary was going to win to trumps polls are shit and are n t a good way to judge anymore if anything,0,biden
55,55,thanku cnn for people to get and vote for trump,0,trump
56,56,the media is desperate to separate the election from the vote i ve heard three networks claim falsely that hillary clinton s lead was much smaller in well an,0,biden
57,57,fake polls trump will win,0,trump
58,58, trump is win,0,trump
59,59,it s good the majority are voting for president donald trump ,0,trump
60,60,it s good the majority are voting for president donald trump ,0,trump
61,61,i can stand trump but i find the msm and censorship so threatening that i will never vote for anyone cnn supports ,0,trump
62,62,cnn news super fake i am voting for president trump,0,trump
63,63,vote trump forever make liberals gag and cry again and again like in ,0,trump
64,64,vote for the party that you think is going to do good for you and your country no matter who wins do not be like i am rep or i am dem this is for the ones close,0,biden
65,65,trump got my vote because of fake news like you,0,trump
66,66,you snow flakes who agree with this apple who fell far from the tree are the exact reason president trump wins again and continues to move america towards the country of patriotism and honor and decency you liberals are,0,biden
67,67,i ve always respected ron reagan i voted for ronald reagan during his re election but i soon came to regret it because as a gay,0,biden
68,68,is incomplete and is missing some of his current goof up s so it s still growing his voting deterants irresponsible behavior with c shared psychosis at it s best,0,biden
69,69,trump not the only problem the people in the white house and the republican s that support him and we need vote all of them out,0,biden
70,70,as democrats whether they are rioting destroying property and murdering americans as we saw this summer we must vote republican november rd if we are going to preserve our freedom and our democratic republic ,0,biden
71,71,super important trump is absolute opposite of reagan he is the devil s puppet and only the idiotic vote for a clown like him bring the party of reagan and lincoln back ,0,biden
72,72,predicted al gore would beat bush which did not happen he cited well he won the popular vote yet predicted trump would win despite him losing the popular vote he can not have it,0,biden
73,73,what is happening with trump you are helping to destroy this country keep that in mind when you vote and who you vote for if you vote for trump or republican senators you are helping to destroy,0,trump
74,74,ronnie would have voted for trump right now facts,0,trump
75,75,trump doing anything to win nope his time is up,0,biden
76,76, they are n t rushing anything through and they are not doing anything illegitimate or illegal they have the votes they should push it through the seat is open now trump is president now you can,0,trump
77,77,trump will be winning big time as americans makedemocratscryagain ,0,biden
78,78,vote for trump vote for great america,0,trump
79,79,cry me a river trump showed everyone what he was and half of the country still voted for him ,0,biden
80,80,a presidential election year and the senate voted on them before the presidential election the dems hope the people won know this fact and try to make it seem it an unusual thing only trump is doing the,0,trump
81,81,trump won by cheating on the election in ,0,biden
82,82,trump will do and say anything for votes no bar to high and no bar too low law and order means zero to him he will,0,biden
83,83,the ppl who voted for trump were unsure now they are convinced cnn will feel sick come nov rd ,0,biden
84,84,there is no way donald trump wins reelection he has pissed off too many people ,0,biden
85,85,vote for trump vote for great america,0,trump
86,86,trump has proven that republicans will vote for anyone or anything wearing a red tie neither party has been put to such a test ,0,biden
87,87,william barr of all people knows how donald operates with lies and alibises a case of making bs up sad but true no facts just lie after lie this is not a game where does this end november biden vote,0,trump
88,88,ive tuned trump out my response will be my vote in november,0,biden
89,89,in cnn say same like this but trump win the election stop fake news man go honest ,0,trump
90,90,trump is the best vote for trump ,0,trump
91,91,bill bar u lying isn t it was in trp winning get a life of u own and get off mr trump own,0,unknown
92,92,the new donald too little too late the voting has started pack your suitcase is good advice ,0,biden
93,93,hehehe trump preaching what he does not believe in another trick to have you run to the voting polls to vote for him trump is not human he does not care about you or anyone,0,trump
94,94,trump will toss a political nuke into the mix the friday before the vote is my prediction it will be outrageous unverifiable before the vote it will have no validity,0,unknown
95,95,bernie sanders clinton basically made it seem like the fix was in and anyone who felt it inconvenient to vote did n t it sure looked like clinton had the fix in place in at least that,0,biden
96,96,trump will win you all can start crying now obama can drone strike him out of office hillary can,0,trump
97,97,vote for biden and mandated vaccines are forced upon everyone no one else worried what else will be mandated under a democratic president trump for choice,0,trump
98,98,projections mean jack diddly spit get out there and vote donald trump out only your votes can save america from a corrupt criminal president and his equally corrupt and complicit enablers ,0,trump
99,99,and lying to the american people trump will win in a tsunami landslide electoral votes and will serve another great years ,0,trump
100,100,thank you ron you shared with intelligent peaceful concise integrity i hope we save our world and vote trump out please pray for our democracy and vote trump and his senatorial supporters out or we,0,biden
101,101,i have always voted republican and voted against trump last time i been on the fence but this convincing more and more to vote for trump ,0,biden
102,102,our family has never taken a poll but we have votes for trump in the family i never believe polls there is just too much to be skewed in them ,0,trump
103,103,trump win to prison ,0,trump
104,104,trump is a psychopath and narcissist please pray for our democracy and vote trump and his senatorial supporters out,0,trump
105,105, million have already voted the biggest mobilization unification of liberal conservative independent voters in the history of the u s ,0,biden
106,106,trump does not even know half those words pretty convinced he s illiterate ya ll voted in a turd and have been trying to polish it ever since time to make america great again biden harris ,0,trump
107,107,if trump wins will the democrats allow him to do his job and not cry and die and except the results,0,biden
108,108,up and demand better for ourselves these parties have been failing us for years yet we keep voting them back into office i guess we deserve the laughable disaster we become as a nation ,0,biden
109,109,polls are nothing without your vote period millions lives depend on your vote aca will absolutely be repealed under donald trump presidency,0,biden
110,110,polls are biased five thirty eight was wrong by points trump is winning,0,biden
111,111,vote for trump vote for great america,0,trump
112,112,cnn will be crying when trump wins again,0,trump
113,113,trump has not chance of winning donald trump going to lose,0,unknown
114,114,do not get complacent vote trump no matter what ususus,0,trump
115,115,do not lie trump is going to win ,0,trump
116,116,i bet on trump the odds when i placed my bet was to win at the time yesterday i got a message saying my bet had been voided maybe,0,biden
117,117,thank goodness trump will be deposed if people vote trump the self appointed and order president supreme covid expert grand social communicator the foremost,0,biden
118,118,hello cnn you guys try whatever you can but no use trump will win again trump ,0,trump
119,119,this guy is still pissed from he thought trump would never win the presidency,0,biden
120,120,vote for him trump knows hes losing hes trying to campaign to the states he had when he won years ago i said this before how can trump run a rally when most of the group,0,biden
121,121,cannot wait til trump wins,0,biden
122,122,from the beginning ron reagan already show hatred on trump made even a prediction that trump would not be a president he got embarrassed that trump won the election and now really got angrier ,0,biden
123,123,no way this was trump idea he just agreed to it because he desperate to save face to swing votes his way i remember a quote from maya angelou someone shows you who they really are ,0,biden
124,124,i not american but please end this nightmare go vote trump out ,0,biden
125,125,to election day the public is no longer buying what dems are selling very important that all citizens vote in person i voted early and in person already we are seeing mail in voter fraud including ballets for,0,biden
126,126,im a democrat and trump wins the need to put out a law on frickin polls label it as election intimidation,0,biden
127,127,trump is going to win and all of you are going to cry again for four more years cnn and slow joe are such pathetic liers ,0,trump
128,128, the family values have gone to hell in a bucket of fat lip crap as,0,biden
129,129,trump only hope is if the electrol collage members go against the state they represent and vote him in again like last time ,0,biden
130,130, please do us a favor and retire i would like the american people should have the right to vote on it please let me speak quit blaming president trump for the pandemic the problem,0,trump
131,131,of his being he is a president for the people of the people and by the people vote trump for america is first always ,0,trump
132,132,his streaming of predicting elections will lose this time trump is going to win believe it or not,0,biden
133,133,for political gain he has said so many horrible things about vets and that is more than enough to vote him out these are not his words and they do not describe trump s behavior at all he will,0,trump
134,134,damned word just like he has never read a sentence in the bible he so damned desperate for votes he let somebody write whatever will get them he doesn want to be bothered actually reading them off,0,biden
135,135,if trump is attempting to decrease the democratic voting public why is he infecting republican supporters why would anyone vote for the person who meets all,0,biden
136,136,ha ha ha ha ha ha ha ha trump is going to win in a landslide both electoral and popular cnn your projections are bullshit and you know it ,0,trump
137,137,i am florida republican register voter i voted for trump in but i am now lincoln project biden voter in ,0,biden
138,138,it looks like trump is going to get his walking papers from the numbers who are voting early but you must vote bue all the way down the ballot to allow the new administration,0,biden
139,139,everybody just stop now listen we all need to vote the republicans back in why its simple ,0,biden
140,140,trump acts like a demon being exorcised from its host end this hell and vote him out ,0,trump
141,141,everybody just stop now listen we all need to vote the republicans back in why its simple ,0,biden
142,142,did it for him plain and simple character clearly was n t an important attribute for the people who voted for that wreck of a man ,0,biden
143,143,i will vote for anybody to get trump out the white house,0,biden
144,144,what you gonna say in november when trump wins again trump electoral votes in ,0,biden
145,145,he sure voted with trump most of the time while in the senate a little late now that he cant make a difference,0,biden
146,146,did not his son say explicitly that trump would not win in ,0,trump
147,147,it s onley you on cnn who can talk the biggest shit trump will win again biden whill loose again and maybe they must frow you in jail democrats is the biggest problem for america god bless trump,0,trump
148,148,trump might win again,0,trump
149,149,mission but it will not end the way he and his followers believes trump only needs their votes to win this election he s got unfinished business to take care of and he can not do this if,0,biden
150,150,how can you say this crap with a straight face trump wins hands down,0,biden
151,151,nobody believes your projection bs you did it to yourselves pres trump will win in a landslide ,0,trump
152,152,trump will win easily from the look of things,0,trump
153,153,so his model predicts trump wins and then refutes that wtf ,0,biden
154,154,trump exactly what the country needed criticize him all you want he will win because the country wants it ,0,trump
155,155,i cast my first vote for president for your dad i believe trump and your dad would have gotten along your party,0,trump
156,156,that did not want someone else other than trump but we certainly were n t going to vote for hillary so trump was the only option now trump is filling mega stadiums with supporters boat,0,biden
157,157,that did not want someone else other than trump but we certainly were n t going to vote for hillary so trump was the only option now trump is filling mega stadiums with supporters boat,0,biden
158,158,that did not want someone else other than trump but we certainly were n t going to vote for hillary so trump was the only option now trump is filling mega stadiums with supporters boat,0,biden
159,159,tweets this well he is right character counts honesty countsintegrity counts trust countscharacter counts to ur allies too please usa vote for character this nov love from australia,0,biden
160,160,that did not want someone else other than trump but we certainly were n t going to vote for hillary so trump was the only option now trump is filling mega stadiums with supporters boat,0,biden
161,161,laughing so hard a dumb biased prof says trump isn t inspirational and charismatic trump will win period mark this post,0,trump
162,162,whoever vote for the criminals biden family and scum bags drug cartel trafficking god vs eviltruth vs liesmoral vs inhumanitygood vs badrightists vs leftistsrepublican vs democratic ,0,biden
163,163,whoever vote for the criminals biden family and scum bags drug cartel trafficking god vs eviltruth vs liesmoral vs inhumanitygood vs badrightists vs leftistsrepublican vs democratic ,0,biden
164,164,divided corrupt country and for trump to get away with all but burning it down yet still have people voting for him proves that his shenanigans shed light on what is reality and the only difference is that,0,biden
165,165,whoever vote for the criminals biden family and scum bags drug cartel trafficking god vs eviltruth vs liesmoral vs inhumanitygood vs badrightists vs leftistsrepublican vs democratic ,0,biden
166,166,hahaha trumps gonna win ,0,biden
167,167,whoever vote for the criminals biden family and scum bags drug cartel trafficking god vs eviltruth vs liesmoral vs inhumanitygood vs badrightists vs leftistsrepublican vs democratic ,0,biden
168,168,it s what is happening from the start americans can not allow trump to remain in power must vote trump out ,0,biden
169,169,trump will win he won against killary and against sleepy corrupt biden family he should be in the nursing home cnn sucks ,0,trump
170,170,cnn fake news no one believes in your propaganda trump will win in a landslide,0,trump
171,171,damm i forgot how bad trump was supposed to lose in trumps a miracle worker whether he wins or not this year,0,biden
172,172,so the news media is using the tactic of fear just to get you to vote vote yes vote vote dont they realize this is n t its a whole different ball,0,biden
173,173,trump is gonna win ez the republicans just haven voted yet,0,biden
174,174,this is the same clown who told us trump would not win in his father would not like him and did n t old,0,trump
175,175,divided corrupt country and for trump to get away with all but burning it down yet still have people voting for him proves that his shenanigans shed light on what is reality and the only difference is that,0,biden
176,176,this shameless fool had hillary winning by he still has fools to fool by polls look at it the pools sample ,0,biden
177,177, you lying evil witch all you do is care about yourself trump is not going to sign,0,trump
178,178,thank you for talking about president trump all the time on the new your helping the president win again thanks cnn ,0,trump
179,179, s no path to victory cnn on donald trump the polls show that hillary clinton will win the presidency cnn on hillary clinton vs donald trumptrump ,0,trump
180,180,thank you for talking about president trump all the time on the new your helping the president win again thanks cnn ,0,trump
181,181,cannot wait for trump to win again romania supports trump ,0,trump
182,182,the house has passed legislation asking for trillion the republican senate will not vote for more than billion who is being stingy and hard hearted here seems to me it,0,biden
183,183,trump may win again tho,0,trump
184,184,my life if trump wins wake up play video games watch videos online eat play video games ,0,biden
185,185,electoral college he was n t popular then and he is n t popular now but by cheating he could win again people so get ready for this roll coaster ride ,0,biden
186,186,i swear people voting trump cause of economy but american lost people because of pandemic the president made it worst with ralliesi,0,trump
187,187, s have walked away once knowing the truth what are they teaching our kids trump will win again as power must remain in the hands of hardworking american people ,0,trump
188,188, vote no matter how hard others especially targeted disinformation online may try to discourage you from exercising your,0,biden
189,189,last time clinton got beat so beware of the quiet voters there are a lot of people voting for trump ,0,biden
190,190,cnn are embarrassing cannot wait to taste those tears when trump wins,0,trump
191,191,hahaha if trump wins you guys are going to lose every ounce of credibility you have just saying ,0,trump
192,192,dig your hole deeper cnn your helping trump win,0,trump
193,193,white house by the communist russians each of those four years has seen a new group of voters turn voting age this election will depend on whether the democrats or trump has their vote that s the,0,biden
194,194,bonehead does he even have a heart of course not he s a fool desperately trying to conjure votes cmon america do we really need four more years of this tweeting moron ,0,biden
195,195,defending the police is no where near good enough no no no all you yanks need to vote democrats who want to abolish the police because they care about you then you can ask n talk,0,biden
196,196,trump is like satan the devil blinding the minds of helpless people who voted for him it a dam shame ,0,biden
197,197,watch the map change to red over the next few days is about to be repeated as president trump wins by a landslide once again ,0,biden
198,198,vote trump to pull us out of the slump,0,biden
199,199,a yr old dem never liked or voted for reagan but trump dont like him but i like low taxes and jobs for all,0,biden
200,200,trump will win big so boring ,0,trump
201,201,trump will win comfortably ,0,trump
202,202,vote liar trump out ,0,biden
203,203,the law with their feeds and spinn like worms when they get asked and act fact checked about it if trump wins democracy will die trump act like a double agent who works for xa putin trump is doing,0,biden
204,204,dude you were the same person calling the race with hillary looked real stupid when trump was winning then won,0,biden
205,205,here is the truth it was the same with trump vs hillary when she ran i ve voted both ways in my lifetime and i dont trust none of them to be honest and definitely not loco,0,trump
206,206,vote trump moreyears,0,trump
207,207,the same criminal coward senators who voted to not remove trump from office are now going to lose their elections because of him justice could not be sweeter ,0,biden
208,208,people no let up please go out there to vote trump out to protect your children and their future,0,biden
209,209,the same criminal coward senators who voted to not remove trump from office are now going to lose their elections because of him justice could not be sweeter ,0,biden
210,210,the same criminal coward senators who voted to not remove trump from office are now going to lose their elections because of him justice could not be sweeter ,0,biden
211,211,trump will win in a landslide ,0,trump
212,212,it a bernie sanders in why don you talk about that why don you talk about people voting for trump was because people was tired of the democrat and republican mafia do you know why because,0,biden
213,213,just voted for trump,0,trump
214,214,best funny programme trump win cnn say hilary win but trump win president election,0,trump
215,215,regardless who you voting on go out and vote trump will probably win this time to but it always nice to study the left outrage after the election it gona be,0,trump
216,216,vote americans save our demcracy and save lives vote trump out ,0,biden
217,217,with lies distortions tax fraud and possibly more we are unable to comprehend yet how can today americans vote for a fascist regime when americans have fought and died overseas to preserve and restore justice and democracy ,0,biden
218,218,not this same old trick once we vote trump out then we can talk about whatever you want ,0,biden
219,219,vote trump we need a real man as a leader,0,trump
220,220,no because of trump we were going to the lines to vote because we do not trust trump i have copd and i got in line and waited and hours,0,trump
221,221, vote trump he is not part of the system shows a good list of trump accomplishments to be,0,trump
222,222,i still dont get how anyone is stupid enough and gullible enough to vote for trump,0,unknown
223,223,i cannot wait for the sicko liberal democrat tears to fall after president trump wins the election ,0,biden
224,224,this is the asshole who stated trump could never win the election and his erroneous statements about nepotism in the trump admin need look no further,0,biden
225,225,lol if trump wins,0,biden
226,226,not according to every twitter poll trump win every one win you guys must be embarrassed to have to present this nonsense ,0,trump
227,227,did not write that at all no doubt donald trump is a profound idiot please get out to vote in early voting and november rd he s the most anti american president ever in the history of,0,trump
228,228, the do nothing democrats purfect title i d add currupt to it for sure please vote in person pence check facts dont trust the fake news media they re all keeping so much from,0,biden
229,229,please please please do not vote for donald trump send him to belgium we need someone like him you can keep that old man that opposes him ,0,trump
230,230,i am sorry but trump will win,0,trump
231,231,all is disinformation they haven debunked anything these aren journalist these are traitors go out and vote trump ,0,trump
232,232,if you are not totally brain dead by now vote trump,0,trump
233,233,if the donald wins again it ll be the greatest comeback since lazarus donald l trump america would end up looking like mad max after another yrs of the trumptards in power ,0,biden
234,234,as long as trump keeps talking to his base trump losing the the undecided you need to get out and vote and show trump the door on november ,0,biden
235,235,trump will win then he will destroy all the americans red states will win the devil will win ,0,trump
236,236,i will never vote republican again after putting up with trump and the republicans epublican backing his every crooked move and how they,0,trump
237,237,the fake polls keep on coming cannot wait for the trump landslide these people never voted trump ,0,trump
238,238,also in my country everyone s vote is counted equally you can not lose the election and still win like you can in the united states ,0,biden
239,239,are actually doing research instead of just jumping on the hypocritical hate bandwagon that might be all he needs to win cnn is actively trying to seperate americans into two sides that is being divisive the very,0,biden
240,240,va reforms to benefit the very people who served our country and defend our freedom you hate that he winning and signing new trade deals that benefit americans instead of costing us more you hate that he,0,biden
241,241,get out and vote for trump biden is a crook,0,trump
242,242,if the democrats win the house and senate along with the presidency this will establish the antichrist in america and the end,0,biden
243,243,trump wins it again ,0,trump
244,244,virus trump thinning out the heard is not going to work for us humans stay safe and vote all blue ,0,biden
245,245, so worry may be a good thing right now it motivates the motivators to keep pushing us to vote but i have said that it will not be the same as in there was million,0,biden
246,246,trump gonna win easy they told us last time he had no chance,0,biden
247,247,trump will win hands down so more judges next few years ,0,trump
248,248,fake cnn fake polls trump will win big you guys spinner this rubbish last the media is rigged trump ,0,trump
249,249,dems wants to replace the donald they have been picked a candidate smarter than president trump usa you must vote for trump on nov to give peace echoed to the entire universe to god be,0,trump
250,250,united states you are with trump only the democratic party is going hard for immigrants immigrants can not vote so how issues that affect them take priority over citizens born in america trump values things made in,0,biden
251,251,dumb stuff from time to time but you are by far the best at being the worst hahathose who still vote trump now this month are actual dummies for life,0,trump
252,252,wins he will take your seriously as long as your not racist or supporting left wing agendas i say vote for the constitution and do not worry about parties ,0,biden
253,253,instead what you get is our country is in crisis yada yada yada get out and vote blah blah not that this specific person is corrupt in this specific way and i,0,biden
254,254, million early votes cast as of today go and vote trump and the republican complicit bootlickers out,0,biden
255,255,seriously americans always use to wonder how countries fell into tyranny now we know because ignorant citizens vote them in ,0,biden
256,256,cannot wait to see all you guys triggerd when trump wins in weeks,0,biden
257,257,damn cnn projected hilliary will get votes and trump won ,0,biden
258,258,trump will win by thirty million votes ,0,trump
259,259,yes we have seen this movie before the outcome is president trump will win this rigged election the lying democrats guilty of assassinating seal team will be executed for high treason,0,trump
260,260,reports is utter madness americans make a choice for the world vote trump with this bias media imagine sleepy joe wins there would be no more freedom left ,0,trump
261,261,they should say trump is leading and then more people would be motivated to vote why not give trump some fake news that he loves so much ,0,biden
262,262,the american people aren t stupid cnn we will vote trump allllllllll day long ,0,biden
263,263,remember the media said hillary was winning everything aaaanndd what happened lol trump ,0,trump
264,264,rabid idiots who will mindlessly eat up any garbage he spits out democrats and anti trump republicans need to approach voting with the same zeal or this will just be all over again ,0,trump
265,265, voting for anyone else or a write in vote is a vote for trump that,0,trump
266,266,a vote for trump is a vote for the virus its in his body would you like to vote coronavirus as your president ,0,trump
267,267,are supposed to learn from our past and previous mistakes nov will be another electoral college votes landslide in favor of our stable genius president trump again ay ay ay msm spearheaded by,0,biden
268,268,i didn vote trump but i am voting him for i am a female mex american he proved me wrong i,0,trump
269,269,not even going to be close trump the question i want to know is when trump wins the popular vote too are you all going to quit your crying ,0,trump
270,270,lol trump will win in a huuuuge landslide lol lol,0,trump
271,271,potus trump q q will win re election,0,trump
272,272,people voting for trump can not be honest and open about it the dems have shot themselves in the foot,0,biden
273,273,your map was wrong last election and i am sure that it s wrong this time too your prediction should be that president trump will win by a landslide maga again ,0,trump
274,274,trump was speaking metaphorically your spin on things actually works against you and this is why president trump will win again and keep winning you just do not get it ,0,trump
275,275,lies i heard trump had electoral votes in different polls ,0,biden
276,276,trump is a miracle man and he wins miraculously and nothing gonna stop trump from winning this election again this time ,0,trump
277,277,not buying it trump is pure evil hes just saying this to win his election to keep his immoral ass out of prison ,0,biden
278,278,news america will not flag or fail america will go on to the end the people will vote in the towns they will vote in the cities in the hills and on the plains ,0,biden
279,279,us to hate him these people benefit when you hate the man trying to stop them so they won have to give up the wealth they have gotten and continue to get thru mass taxation and control ,0,biden
280,280,it s funny how trump cannot say that about himself i still would not vote for him,0,unknown
281,281,calling thanks to the left around to of trump voters hide the fact they vote for him to stop hassle from friends work family so come voting day there might be a shock again ,0,trump
282,282,news america will not flag or fail america will go on to the end the people will vote in the towns they will vote in the cities in the hills and on the plains ,0,biden
283,283,it s strange people are voting for the same politicians that got us trump refusing to address the actual problem and focising on the,0,trump
284,284,talk about him i can not wait to november rd i pray to god everyday that trump does not win the election ,0,unknown
285,285,when trump wins again left wing polls will be exposed yet again when do we get rid of false reporting how about the americans that were killed because of false narratives ,0,biden
286,286,from australia you should vote trump if you ever want jobs ,0,trump
287,287,years in government if you can do this then i ll listen if not i ll have to vote for trump trump in four years has accomplished multiples of goals and promises that he made during his,0,biden
288,288,should n t nervous scare because this is not in dumb trump won the election because russian helped him win the electing by interfering and cheating but that wo n t happen again usa is watching more carefully,0,trump
289,289,everyone needs to do their part vote vote vote fuck these news agencies trying to repeat just vote nothing is certain with trump everyone needs to do their part ,0,biden
290,290,we still have to go vote trump guys maga,0,trump
291,291,member calling him a hero as far as i see it the tendency for people of color to vote left is an example of cognitive dissonance caused by the liberal media to push their agenda ,0,biden
292,292,trump win m a g a ,0,trump
293,293,i don believe it trump is gonna win again ccn is fake news,0,trump
294,294,lets hope trump wins another years he is the only one trying to preserve the american dream that americans and immigrants love this country for ,0,biden
295,295,be proud of for forty seven years i am not a trump zombie or anything i did not vote for him the first time i voted for johnson reeeee trump will have my vote this,0,trump
296,296,i not voting for trump,0,trump
297,297,laughable lol d cnn with their fake polls and failed mind control attempt just like in trump win easy ,0,trump
298,298,i am confused there s only like electoral college votes how did trump come back when hilary had does the ec change their vote later ,0,biden
299,299, vote for freedom and prosperity vote for i supported obama i learned that was spying conspiracy ,0,biden
300,300,now if you still vote for trump after seeing this you are insensitive and ignorant ,0,biden
301,301,i voted for trump ,0,trump
302,302,he s condemning his base to prison he thinks if they vote twice he will win it wo n t be until after he s re elected they will find the fraudulent,0,biden
303,303,be behind all the other networks as usual my senior parents still enjoy your program though congratulations you are winning over the gullible ones ,0,biden
304,304,don allow cnn rage and hate propaganda confuse you ca la vote trump this lawlessness homeless ridden terror of democrats of last more than years ,0,trump
305,305,cnn with this poll shit will get trump to win,0,biden
306,306,our best interest is to vote against the democrats unfortunately its trump but we can not let these free masons win all they stay trying to push is the coronavirus wich is just pure bull def a deeper agenda to,0,biden
307,307,republican not all republicans are associated with him my family and i are republican but we did not vote for trump in and we certainly wo n t vote for him for trump is a reactionary,0,trump
308,308,this video clip from cnn was very informative thank you for making up my mind i will vote for trump now thank you cnn and god bless you ice cube ,0,trump
309,309,attendance level of the democrat socialist party national event the conclusion is that the only way for democrats to win is to engage in lying propaganda and emotional issues rather than presenting logical believable claims on how to run,0,biden
310,310,those votes were tallied in president trump is still the president ,0,trump
311,311,pfffttt whatever trump gets electoral votes minimum watch and see ,0,trump
312,312,trump will clearly win he won when they overpredicted clinton victory by a higher margin and now they overpredict biden victory with a slightly lesser,0,biden
313,313,seemingly can not afford the few extra bucks for nuance or at least covering up the blatant targeted marketing vote him out jeez,0,biden
314,314,election night as cnn was trying to get their head wrapped around what was happening as trump kept winning state after state they kept john king at the big electoral map board too long on return,0,biden
315,315, is happening all over again except me and all my friends are going to vote trump this time,0,trump
316,316,that there are still people out there voting rep is beyond insanity i get why you would not vote at all after they stabbed bernie again,0,biden
317,317,trump did not do anything he promised before winning the election thousand people lost their lives that number is embarrassing for the united states,0,biden
